Title,Categories,Author,Narrated By,Series,Length (Hours),Length (Minutes),ReleaseDate,Price,Ratings,Overall Rating Out of 5,Performance Rating out of 5,Story Rating out of 5,Overall 5 stars amount,Overall 4 star amount,Overall 3 star amount,Overall 2 star amount,Overall 1 star amount,Performance 5 star amount,Performance 4 star amount,Performance 3 star amount,Performance 2 star amount,Performance 1 star amount,Story 5 star amount,story 4 star amount,Story 3 star amount,Story 2 star amount,Story 1 star amount,1 Review header,1 Review body,1 Review helpful count,2 Review Header,2 Review body,2 Review helpful count,3 Review Header,3 Review Body,3 Review helpful count,,,,,,,
What Really Happens in Vegas,Travel & Tourism,James Patterson,Phil Morris,,8,13,12/4/2023,19.49,41,4.5,4.7,4.5,31,4,2,2,2,30,6,0,0,1,27,4,3,2,1,Vegas Native,I really loved learning more about Vegas. I’ve been here forever so a lot of this I knew but not all of it and I love that you were hearing different perspectives and experiences.,,What happens in Vegas…,"""I really enjoyed that each chapter was a glimpse into the history of Vegas or was a personal story of one of the city’s influencers. I chose this book because I will be visiting in the summer and wanted something fun to get me excited. The tidbits of history are short and make for excellent listening while commuting to/from work everyday! I loved learning about how the motto “What happens in Vegas, stays in Vegas” came to be; the story of Elaine Wynn; the story of Cirque du Soleil; the drive through wedding chapel; and more! I can’t wait to go now! You will love all of the great stories!",,Love little stories,"It was good, nice travel book b/c it's many short stories.Don't have to remember story or plot. New story every time!",,,,,,,,
Leave Only Footprints,Travel & Tourism,Conor Knighton,Conor Knighton,,10,17,4/7/2020,18,590,4.6,4.6,4.6,431,112,28,11,8,386,98,19,11,5,382,89,28,8,9,wish it were a longer book,I wanted more information about each park! I now have a top-ten list. the personal story was ok but not really needed.,3 people found this helpful,great story,"""nice read! this was a great journey, I might have to go be a drifter!",1 person found this helpful,Remembering my childhood,Conor Knighton’s descriptions of places I visited as a child in 1963 stirred so many memories. My father took six weeks off in the summer of 63 for vacation. My family and my cousins family plus my grandmother camped to California and back from Atlanta. We visited many parks there and back. Thanks Conor.,1 person found this helpful,,,,,,,
Death in the Silent Places,Travel & Tourism,Peter Hathaway Capstick,Luke Oldham,,11,17,5/1/2024,24.95,2,5,5,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,great collections of legendary hunting stories,I like the Corbett chapter…. And the chapter on Bell in an era that no longer exists,,,,,,,,,,,,,,
Walk Ride Paddle,Travel & Tourism,Tim Kaine,Tim Kaine,,12,28,4/9/2024,25.19,10,4.8,4.7,5,9,0,1,0,0,6,3,0,0,0,9,0,0,0,0,Nature & public life,"Tim Kaine, the author read the book in audio format, bringing the life experience to the page in a revealing account throughout the chapters of a time in the world, that brings us together.",,As captivating as your favorite novel,"""This reads like a novel. Kaine's ability to perfectly describe the beauty and history of Virginia is impressive. Even if you don't agree with his politics, you can find value in his life experiences and life lessons. I was sad for it to end. I anticipate a few rereads in the years to come.",,,,,,,,,,,
A Supposedly Fun Thing I'll Never Do Again,Travel & Tourism,David Foster Wallace,Paul Garcia,,17,46,2/7/2012,30.41,827,4.3,4.2,4.3,483,200,84,31,29,389,177,88,24,31,423,160,70,32,22,The title reflects expectations,Wallace's prose toes the line between measured and verbose. Garcia makes the humor absolutely pop.,,Life Through David Foster Wallace's Eyes,"""I waited a little too long to write this review, but here we go: I'm from Indiana and grew up playing basketball, and I enjoyed Wallace describing his years travelling the Midwest and the dodgy style of gritty tennis he played. He relished the heat, the bugs, and the surprise gusts of wind while others complained of their foul luck. Memorable pieces on the IL state fair and a trip on a luxury cruise liner. Listened to this as I read Michael Martone's The Flatness and Other Landscapes. A good pair.",4 people found this helpful,brilliant but dated material,"this sounded like the narrator's first read; he did not know how to pronounce several words and proper names, and mis-read the emphasis in long sentences. as ever, Hachette is too lazy to align chapters with any meaningful divisions within the book, even in this, a collection of essays with titled sub-sections! so the chapter segments are typically meaningless and unhelpful.",3 people found this helpful,,,,,,,
"Everest, Inc.",Travel & Tourism,Will Cockrell,Pete Simonelli,,9,59,4/16/2024,19.49,11,4.4,4.6,4.3,6,4,0,1,0,7,1,0,1,0,5,3,0,1,0,Great read.,Refreshing to finally get a different narrative and perspective on Everest. I found it to be well researched and written. And the narration was very good. It is not your usual Everest book and that certainly sets it apart from the numerous other books on the same topic.,1 person found this helpful,Only if you are an avid mountaineer,"""Honestly it became quite boring as more and more climbers and guides enter the story - like rinse and repeat. Even the narrator sounds like he is tired of trying to make it sound new each time.",1 person found this helpful,,,,,,,,,,
The Sun Is a Compass,Travel & Tourism,Caroline Van Hemert,Xe Sands,,9,2,3/19/2019,21.83,907,4.6,4.6,4.6,659,161,63,17,7,593,123,59,17,13,586,150,46,16,7,Wonderful adventure with a depth and intimacy that is mixed with natural history information reminiscent,"This is an adventure that keeps you on your toes while gently informing you about the natural history of the Alaska area. I loved the intimacy of the authors relationship with her husband, family, and the wild life they encounter. Beautifully written so I felt as though I was there with them.",13 people found this helpful,Well done!,"""I read a ton of true adventures from the jungles to the poles, on bicycles, boats, skis and crampons, and I consider this book to be one of the best. It's not a super risky, or out-of-this-world, edge-of-your-seat adventure. It's simply a well written, well narrated, intriguing trek by real people (intelligent and talented), stretching themselves to fulfil their extreme dream..... far beyond the imagination of most of us.",1 person found this helpful,"Love listening about birds,?","I enjoyed the book. It is always amazing to hear a story of enduring the ways of the wild. This book has a great start, middle and ties it up at the end. Not five star but good.",,,,,,,,
Spying on the South,Travel & Tourism,Tony Horwitz,Mark Deakins,,17,11,5/14/2019,22.5,390,4.4,4.5,4.3,232,103,34,12,9,221,81,30,3,3,200,84,31,15,8,I wish I could thank Tony Horwitz,"In this book book the late Pulitzer Prize winning author Tony Horwitz interweaves firsthand observances of the antebellum South by famed landscape architect Frederick Olmsted with his own astute and often humorous observations on the same locales Olmsted visited. The narrator speaks clearly and varies his voice and accent just enough to help you keep track of who is speaking. Although the book is on the long side, it kept my interest from beginning to end. I learned a lot and was entertained. I feel saddened by Horwitz’s death. If he were still alive I would write him a word of thanks.",,Great final story from a talented author,"""Tony Horwitz was at his best when he blended history and journalism to tell us of our country’s past and present. He excels at in his final journey: “Spying on the South,” which was published just weeks before his death. The book is a mix of history lesson and travelogue as Horwitz follows in the path of landscape architect Fredrick Law Olmsted’s journeys through antebellum south. Each chapter includes part of Olmsted’s trip followed by Horwitz’ 21st-century journalism. There are plenty of interesting characters he meets across the south, particularly in Texas, which accounts for the second half of the book. I am sad this is Horwitz’ final journey but think it was a fitting finale for the talented author. I thought the narrator did a great job of capturing Horwitz' personality during the first-person travelogue accounts.",7 people found this helpful,Lovely finale for intrepid journalist/historian,"All such works - retracing the steps of a traveler-journalist and, a decade after his long trek, celebrated landscape architect Frederick Law Olmsted, and trying to make sense of the people and places he encounters - result in long sequences of, essentially, anecdotes, from which the author/traveler/investigator seeks to draw larger generalizations. The story of Olmsted's mounting animosity toward slavery runs through Horwitz's narrative, as does the author's indefatigable curiosity about what makes things tick here? and who might I talk to that will help me understand? Horwitz's generous treatment of a region that, to many, has been on the wrong side of history since 1619, or 1787, makes familiar sense of the state's, cities, and towns he passes through: with some exceptions, conservative, individualistic, religious, tribal, history-minded. Mining Olmsted's trilogy that comprises his The Cotton Kingdom enables Horwitz to resurrect history that few nonspecialists who read this book will have known about - for example, the antebellum experience of German 1848ers in Texan exile - and will send readers running back to the original texts. Horwitz does an excellent job following up on such stories and, where possible, bringing them up to date. He's also strong on detailing the horrors of slavery and the wrongs of Jim Crow. He draws unsurprising conclusions about political tribalism that is nearly analogous to the great national divide in the run-up to civil war. He is, however, generous to a near fault in writing about people with whom he disagrees. Horwitz concludes his trip by spending two days in Olmsted's greatest and best known work, NYC's Central Park, a monument to the artist's thoughts on Democracy as well as our first park, to which the author adds a paean to beautiful open spaces and their place in our history. Tony Horwitz's untimely death, at age 60, in late May 2019, while touring this book, deprives us of an essential observer, commentator, and author.",5 people found this helpful,,,,,,,
A Walk in the Woods,Travel & Tourism,Bill Bryson,Bill Bryson,,5,58,12/15/1999,13.48,4116,4.4,4.6,4.5,2469,1113,401,81,52,1580,439,122,21,10,1440,516,178,27,16,Dead Tree was better,"A wonderfully funny adventure of the middle-aged and the restless, but Bryson's humor translates better on the written page, or when a professional does the reading. His soft slightly British, slightly midwestern voice lacked the punch of the written word. Also, the abridgement left out way too many funny adventures along the way.",7 people found this helpful,Just for Americans,"""It is not a bad book, but i did not find it that funny. I think you have to be a American to fully appreciate it.",2 people found this helpful,Well Walked,"Bill Bryson did an excellent job with this account of life on the AT. I appreciated some of the interesting trivia/facts he included, along with his experience of getting outfitted for his trek (amusing and unfortunately all too true!). The escapades and quirkiness of his hiking partner Katz made the whole thing even more entertaining -having carried some poorly-planned loads myself, I can completely envision his unloading of vital supplies (i.e., food) without thought. I was only disappointed with two aspects. I did find Bryson to be sometimes over-critical and condescending toward various people, places and organizations he wrote of - which took away, rather than added to his adventure in my opinion. But I was even more disappointed when he revealed that he stopped his trek less than half-way, and then wrote about a series of fairly boring day-hikes on other sections of the trail. When he and Katz finally gave it up when they were barely into the 100-mile wilderness in ME, and before coming close to reaching Katadin, I was very let down. I had assumed he had written about a thru-hike, or at least a 2000-mile qualifier ... but this was not the case, and was a disappointing end to the tale.",2 people found this helpful,,,,,,,
Death in Yellowstone (Second Edition),Travel & Tourism,Lee H. Whittlesey,Jim Seybert,,14,25,3/1/2024,12.95,3,4.3,5,4.3,1,2,0,0,0,3,0,0,0,0,1,2,0,0,0,Excellent!,Great stories and narration was very well done. I’ll be recommending this to friends. I have the print version at home but enjoyed this in the car on a road trip.,,,,,,,,,,,,,,
Family Road Trip Trivia,Travel & Tourism,Bradley Blake,Joe Piccirillo,,46,,6/2/2021,4.31,37,4.5,4.6,4.5,29,4,1,1,2,26,3,0,0,2,23,4,1,0,2,Perfect!,"This is a perfect trivia game for car rides. We are going on vacation tomorrow and will be listening to this. It is also not tooling, so it’ll help the little ones stay involved. Great resources and family friendly for everyone.",,Easy to Follow!,"""One of the things to leave with children is memories of the fun times family has had together, and creating one of such has just been made easy with this book. This audiobook has many trivia questions that will be suitable for family time when traveling. Listening to the audiobook with kids brings such engagement of the mind and fun entertainment, which keeps the family together.",,Interesting+Interactive= The Perfect Fun Challenge,"I love how this is laid out, My girlfriend and I listen to this on our way to our hiking spots, 45 minutes is the perfect amount of time too. It asks interesting questions and gives you plenty of time to talk it over and make a choice. Absolutely one of our favorites listens on our trips. I recommend this to Families, Couples, Kids, The Dog, or your neighbors' goldfish, literally everyone can learn something from this, ITS GREAT!!",,,,,,,,
Sailing to the Edge of Time,Travel & Tourism,John Kretschmer,Matthew Kevin Anderson,,9,58,3/5/2020,15.27,271,4.7,4.3,4.8,211,47,9,4,0,149,46,21,13,9,198,32,7,1,1,another great novel by John,a nice collection of short stories and experiences for all sailors to enjoy. If you're looking for a book this is a good one.,,"Excellent writing, fantastic sea stories","""John Kretschmer has the unique ability to take you along on his many ocean voyages with every word. I wish the narrator had taken the time to find out how to pronounce words he was unfamiliar with. He had several versions of “Quetzal” and she’s one of the most important characters in the book. Despite this, the beautifully written stories came through.",,"great book, mediocre reader","the book is amazing. However the reader ignores proper pronunciation on easily searched terms. If you sail, it's worth wincing at the bad words and moving forward.",,,,,,,,
Jupiter's Travels,Travel & Tourism,Ted Simon,Rupert Degas,,16,51,9/2/2015,45.63,842,4.7,4.8,4.7,638,144,42,9,9,630,100,25,7,4,587,118,43,11,7,One of the all time great adventures,"If you like to travel, or even if you just dream of traveling, Jupiter’s Travels is a must read. Join Ted Simon on a four year motorcycle ride around the world. See the sites that he saw and meet all of the interesting characters along the way. The Narrator, Rupert Degas, is so convincing that it feels like Ted Simon himself is telling you the tale of his travels!",,"The best audio book performance, best book","""I first read this in print 15 or so years ago. the performance is so good that I actually think that it makes the prose much more vivid. it's incredible.",,More Art Than Story,"Powerful, moving, intelligent. It reminds me so much of art that really needs to stay in a museum. Don’t get me wrong. It is very, very well written in a sort of “stream of consciousness “ format. Therefore, it lacks a traditional story arc. However, the insight and vocabulary are very stimulating even if I, the reader, need to help the author figure out what the journey is about. It’s ultimate conclusions are very 1970’s (aka The Beatles, drugs, flowers, deconstruction). I would go back to the museum and look at it again, but it’s too much to hang in my own living room.",,,,,,,,
Under the Tuscan Sun,Travel & Tourism,Frances Mayes,Frances Mayes,,6,2,12/15/1999,13.48,469,3.4,2.9,3.7,144,91,99,71,64,96,54,53,42,115,129,86,70,34,34,BAD NARRATION,"I was truly excited to hear this book! I’m from the south, and and a frequenter of audible, and I can tell you this was a TERRIBLE choice to have the author narrate the book. A lot of times it works out- however, she has a southern accent that even I find grating, and she is literally just READING rather than FEELING anything. Reminded me of being in a 5th grade classroom reading aloud. She should do herself a favor and have someone else narrate this!!!!",,"Mayes voice is not ""listen"" friendly",,,Wonderful descriptions of Tuscany- not the best choice of reader.,"It is best to listen in small bites- a chapter or two at a time, because of the monotone southern accent of the reader.",,,,,,,,
I'm Mostly Here to Enjoy Myself,Travel & Tourism,Glynnis MacNicol,Glynnis MacNicol,,7,15,6/11/2024,20.48,Not rated yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Salt Path,Travel & Tourism,Raynor Winn,Raynor Winn,,9,,4/20/2021,18,265,4.5,4.5,4.6,183,52,18,7,5,164,44,11,8,7,175,35,14,4,4,A Gripping Memoir,"The Salt Path, by Raynor Winn, was an excellent book. I was fascinated from the very beginning, and found it difficult to stop listening to it. Ms. Winn told her story in a wonderful performance; there were dramatic moments, marvelous descriptions, history and geography lessons, and many human and humorous passages. I am amazed by this memoir, and would recommend it to everyone.",,Thank you for sharing your story,"""What is the story of Hope, As a Bike Packer I found your story inspirational",,The story,It took effort to get past the monotone reading to enjoy the story It’s so well written needs to be well read too,,,,,,,,
Two O'Clock on a Tuesday at Trevi Fountain,Travel & Tourism,Helene Sula,Helene Sula,,5,57,4/9/2024,19.95,14,4.9,4.9,4.9,12,2,0,0,0,13,1,0,0,0,12,2,0,0,0,Well written and energizing!,Must read for everyone that’s ever dared to dream! This is a story of making real dreams come true in a practical way.,,What a joy to read!!,"""This book was so beautifully written. It was Funny, entertaining and most importantly honest. I felt like I was walking through her life with her yet I never felt like there was too much detail. Highly recommended!",,Heartfelt courage and determination,This is a beautifully written memoir that had me reflecting on my own move abroad experiences and how it shaped who I am now. I was teary eyed in the emotional parts of loss and separation from family and I had laugh out loud moments that expats endure when taking risks. It was lovely to hear the book read in Helene’s voice. She wrote with so much passion and detail that you could imagine being there. I hope that young girl in Paris remembers what you said! I would give anything for one more adventure with my dad but love that his time here connects me to home.,,,,,,,,
The Clanlands Almanac,Travel & Tourism,Sam Heughan,Sam Heughan,,10,27,11/23/2021,15.98,872,4.8,4.9,4.8,777,67,20,4,4,727,28,3,5,2,663,64,25,4,3,Another Brilliant book Full of Shits and Giggles,"If you don’t laugh most of the way through this book, you are dead inside. The wit. The banter. The bromance. With bits of history, recipes, and facts sprinkled in for a full flavor fantastic story.",6 people found this helpful,THE COMPANY WE KEEP,"""So enjoyed my second listening of The Almanac! Sam and Graham once again great company! Wonderful narration and personal stories. Feel sad it has ended but maybe appropriately on first footing day of 2022! Slaínte!",1 person found this helpful,These boys,I just love them. wonderful history and facts. plus a lot of tom foolery. Slainte!,,,,,,,,
Take More Vacations,Travel & Tourism,Scott Keyes,Scott Keyes,,8,12,5/11/2021,24.06,140,4.6,4.7,4.7,107,20,6,4,3,94,17,5,0,1,91,16,7,2,1,I wish I knew about this years ago,"Ok let’s get the only negative thing out of the way - this book is outdated so I’m guessing there’s probably changes to the traveling world that make some of this info invalid. Thats not the author’s fault, of course. I didn’t realize this is a few years old nor did I think to look. With that said, I loved this book! The concepts I bet still mostly hold true and I’ll probably find some cheaper flights, but what I loved the most is how it changed my mindset about how to plan for, look for, and execute my travels. Well done with good examples. Definitely recommend it!",,Exceeded expectations!,"""Well narrated and easy to follow and understand book. Lots of good advise and to the point tips.",1 person found this helpful,Really great resource,Great if you want to make travel accessible and avoid overpaying for flights. I like how it didn't just focus on points and miles as many resources do. I would love if Scott wrote a companion book about cheap lodging!,3 people found this helpful,,,,,,,
The Longest Silence,Travel & Tourism,Thomas McGuane,L.J. Ganser,,13,9,1/10/2023,26.7,16,4.4,3.9,4.5,9,4,3,0,0,8,3,1,1,2,10,3,2,0,0,Good,Good stuff. My favorite was about the long fight with the salmon. Good narrator. Glad I listened.,,Like great company during great fishing,"""Mr McGuane was able to bring me along with him on a lifetime of fishing & companionship & I especially enjoyed his unabashed joy of his youth & kindling mine as well as the wisdom that comes in our “ mature” or older years.",,Love the book but not the narration,"I’ve read this book several times. It is by far the best book on fly fishing I’ve ever read. Had some audible credits to burn, and though it should have this in my library. I don’t know what the narrator is trying to do, but it just doesn’t work. This is not a book that needs something added by the narrator. The writing is sufficient on its own. The narrator just needs to read the book and get out of the way. Unfortunately, this narrator didn’t do that. Stick with the written version of this book.",,,,,,,,
The 12-Hour Walk,Travel & Tourism,Colin O'Brady,Colin O'Brady,,5,16,8/2/2022,16.04,418,4.7,4.8,4.8,343,53,15,3,4,316,37,15,3,0,311,43,12,3,1,Looking for a purpose? Read this book!,Collin is a great narrator. I highly recommend this book to anyone looking for their purpose. Collin convinced me in going on a 12 hour walk. He also made me realized that I was spending too much behind screens and I thank him for that.,2 people found this helpful,Awesome motivational book,"""Love the movement he is creating in this book. He did it in a very different way than most of us will do but when your struggling to find your passions such a great experience",,Powerfully inspirational,"Each chapter is a nugget of inspiration, centered around the concept of limiting beliefs. Colin proves that those beliefs can be shattered and we have the power to do that ourselves. The stories are incredible and yet very applicable to draw lessons from. I thoroughly enjoyed each anecdote and hearing how they can be applied to our lives and specifically the walk. I’m really looking forward to doing the walk!",,,,,,,,
A Year in Provence,Travel & Tourism,Peter Mayle,Peter Mayle,,2,52,8/3/2009,8.24,405,4.4,4.7,4.5,266,78,43,10,8,259,44,19,2,6,233,52,33,5,6,Delightful,Terrific narrative of a long visit in France. I throughly enjoyed the authors sense of humor.,1 person found this helpful,Earns 5/5 Smiles...Entertaining Redux (Abridged)!,"""It’s been quite awhile since I watched my favorite production of “A Year in Provence” with John Thaw and Lindsay Duncan or read the trilogy on which it is based, so it’s time for a quick revisit. Like an amuse bouche to whet one’s appetite, this abridged audio version includes delightful portions from both “A Year in Provence” and “Toujours Provence,” and the big perk? It is narrated by Peter himself. Mayle’s year in the picturesque Luberon Valley is filled with language faux pas, cultural misunderstandings, and some missteps in their efforts to fit in, but all through the changing of the seasons, Mayle and his wife make good friends and become infused with the aroma and taste of French culture. Mayle’s narrating was very pleasant, going beyond a traditional read with tone, emotions, and several entertaining accents. I know some prefer the full-length version and maybe “abridged” should be more prominent in the tags, but I enjoyed my revisit and recommend it to others.",,Awful editing,"Love the story. Love the writing. Love the narration. Horrid, awful, sudden, jerking editing. There is no pause between stories or chapters. It's disconcerting. Like whiplash.",12 people found this helpful,,,,,,,
The World Atlas of Coffee,Travel & Tourism,James Hoffmann,James Hoffmann,,5,40,6/24/2021,15.54,279,4.7,4.9,4.7,221,43,13,2,0,215,16,7,0,1,182,33,15,4,0,A great book for lovers of coffee,"I have been a fan of James Hoffman for several years. Shamefully, I hadn’t read this book. (Partly this is due to the fact that we have a Chinese language edition in our home — I always said I’d read it once I learned enough Mandarin.) But now I’ve rectified the situation with this fine audiobook. I learned quite a bit about the countries where my coffee is grown and the producers who grow it. One concern I have about the book is that some of the information is outdated; I suspect the conditions in some coffee-producing countries have changed. I would also like to see a greater emphasis on the effects of climate change, a topic I know Hoffman cares deeply about.",,A superb insight into the world of coffee,"""It’s james Hoffman, what’s not to like. The man could read a shopping list and it would still be great. As it happens this is much more interesting. I’d love it to be more in depth but it’s still great.",,Amazing,Beautifully read. You can tell in his voice he is very passionate about coffee. Loved every second of it.,,,,,,,,
